职位,工资,经验,学历,公司规模
资深开发工程师Linux C++,15k-25k,3-5年,本科,2000人以上
Java 架构师,25k-35k,5-10年,本科,2000人以上
移动威胁响应工程师,15k-25k,3-5年,本科,2000人以上
资深测试工程师-SAAS,15k-25k,3-5年,本科,2000人以上
智能语音软件开发实习生,3k-4k,应届毕业生,本科,500-2000人
资深测试工程师-IOT,15k-25k,3-5年,本科,2000人以上
实习生-软件开发,2k-3k,应届毕业生,本科,2000人以上
资深测试工程师,15k-25k,3-5年,本科,2000人以上
TTS（语音合成）算法实习生,3k-4k,应届毕业生,本科,500-2000人
资深测试工程师-Mac OSX,15k-25k,3-5年,本科,2000人以上
运维主管,15k-25k,不限,本科,2000人以上
软件测试实习生（QA方向）,3k-5k,应届毕业生,不限,500-2000人
资深测试工程师-Windows,15k-25k,3-5年,本科,2000人以上
软件自动化测试工程师,8k-10k,1-3年,本科,150-500人
深度学习算法研究员,20k-40k,应届毕业生,博士,15-50人
web前端开发（1年）,7k-10k,1-3年,本科,15-50人
现网运维专家,20k-36k,3-5年,本科,2000人以上
自然语言处理算法实习生,4k-8k,应届毕业生,硕士,15-50人
架构师,25K-50K,5-10年,不限,2000人以上
NLP算法实习生,3k-4k,应届毕业生,本科,500-2000人
测试专家（T6）,20k-40k,5-10年,本科,2000人以上
数据实习生,3k-4k,应届毕业生,大专,500-2000人
数据挖掘工程师(校招),15k-30k,应届毕业生,本科,15-50人
